,Country Code,Country Name,people-online
0,ABW,Aruba,102285.0288
1,AFG,Afghanistan,4067372.851004353
2,AGO,Angola,4270779.071005564
3,ALB,Albania,2064493.8145400851
4,AND,Andorra,76096.40034796801
5,ARB,Arab World,202469424.30191007
6,ARE,United Arab Emirates,8913210.207647681
7,ARG,Argentina,33561762.95005844
8,ARM,Armenia,2043054.790839005
9,ASM,American Samoa,0.0
10,ATG,Antigua and Barbuda,77529.12
11,AUS,Australia,21291610.984642044
12,AUT,Austria,7736191.2677424
13,AZE,Azerbaijan,7784686.07
14,BDI,Burundi,607818.7391789015
15,BEL,Belgium,9980045.852078022
16,BEN,Benin,1577897.3314428236
17,BFA,Burkina Faso,3047181.0393466963
18,BGD,Bangladesh,29673489.1302
19,BGR,Bulgaria,4486865.166295069
20,BHR,Bahrain,1431061.71370278
21,BHS,"Bahamas, The",336056.85
22,BIH,Bosnia and Herzegovina,2437066.5288653113
23,BLR,Belarus,7070170.097257683
24,BLZ,Belize,176409.65317369797
25,BMU,Bermuda,64374.3117
26,BOL,Bolivia,4844167.82215212
27,BRA,Brazil,141206801.1666
28,BRB,Barbados,233606.0784081241
29,BRN,Brunei Darussalam,406690.6610599308
30,BTN,Bhutan,388512.225288468
31,BWA,Botswana,949063.7803849705
32,CAF,Central African Republic,202169.35929150603
33,CAN,Canada,34028896.54286149
34,CEB,Central Europe and the Baltics,75444483.69253562
35,CHE,Switzerland,7919619.174393893
36,CHI,Channel Islands,
37,CHL,Chile,14864002.187897313
38,CHN,China,752812484.9999999
39,CIV,Cote d'Ivoire,10650799.170705374
40,CMR,Cameroon,5581179.533550322
41,COD,"Congo, Dem. Rep.",7011429.62428581
42,COG,"Congo, Rep.",455054.87500000006
43,COL,Colombia,30548193.17727197
44,COM,Comoros,69004.8454114404
45,CPV,Cabo Verde,312327.108198838
46,CRI,Costa Rica,3511631.1126119276
47,CSS,Caribbean small states,4181066.35160543
48,CUB,Cuba,5639494.5953432275
49,CUW,Curacao,99077.064327795
50,CYM,Cayman Islands,49904.4612877675
51,CYP,Cyprus,952407.0929275247
52,CZE,Czech Republic,8339853.961706084
53,DEU,Germany,69783117.76246586
54,DJI,Djibouti,532862.7343111126
55,DMA,Dominica,51466.340153007506
